theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
x402_ecosystem,ADX-USD,ADX,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
x402_ecosystem,EIGEN-USD,EIGEN,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
polkafoundry_red_kite,ASPO-USD,ASPO,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,SOULS-USD,SOULS,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,DARK-USD,DARK,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,BLOK-USD,BLOK,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,GAFI-USD,GAFI,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,DREAMS-USD,DREAMS,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,BUNI-USD,BUNI,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,PKF-USD,PKF,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
hyperliquid_ecosystem,LINK-USD,LINK,high,Tier 2,0.157722,-0.046002,20.3724,1.0,0.0,1.0,50.45,36.85,Ecosystem,ACCUMULATE
hyperliquid_ecosystem,USDH-USD,USDH,high,Tier 2,0.157722,-0.046002,20.3724,1.0,0.0,1.0,50.45,36.85,Ecosystem,ACCUMULATE
hyperliquid_ecosystem,PIP-USD,PIP,high,Tier 2,0.157722,-0.046002,20.3724,1.0,0.0,1.0,50.45,36.85,Ecosystem,ACCUMULATE
petrock_capital_portfolio,AZERO-USD,AZERO,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,ATLAS-USD,ATLAS,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,STEP-USD,STEP,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,POLIS-USD,POLIS,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,LITH-USD,LITH,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,SLIM-USD,SLIM,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,RAY-USD,RAY,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
sonic_ecosystem,USDC-USD,USDC,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
sonic_ecosystem,EURC-USD,EURC,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
sonic_ecosystem,ZF-USD,ZF,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
sonic_ecosystem,LINK-USD,LINK,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
privacy,MINA-USD,MINA,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
